budget,risk_tolerance,investment_horizon,investment_type,fitness
10000,high,long,stocks,Fit
5000,medium,medium,stocks,Fit
2000,low,short,bonds,Unfit
15000,high,medium,crypto,Fit
7500,medium,long,bonds,Fit
3000,low,medium,stocks,Unfit
20000,high,short,crypto,Unfit
8000,medium,short,stocks,Unfit
4000,low,long,bonds,Fit
12000,high,long,crypto,Fit
6000,medium,medium,bonds,Fit
2500,low,short,stocks,Unfit
18000,high,medium,crypto,Fit
9000,medium,long,stocks,Fit
3500,low,medium,bonds,Unfit
25000,high,short,stocks,Unfit
7000,medium,short,crypto,Unfit
4500,low,long,stocks,Fit
11000,high,long,bonds,Fit
5500,medium,medium,crypto,Fit
2800,low,short,bonds,Unfit
16000,high,medium,stocks,Fit
8500,medium,long,crypto,Fit
3200,low,medium,stocks,Unfit
22000,high,short,bonds,Unfit